prompt,completion
Let’s drink.,bottle
My mouth is dry.,bottle
Let’s eat something sweet.,banana
I deserve a treat after all this work.,banana
Let’s call Mom.,cellphone
I should set an alarm.,cellphone
I need some medicine.,ibuprofen
My shoulder hurts after that accident.,ibuprofen
Let’s sign this deal.,pen
I want to write my PIN on my palm so I don’t forget it.,pen
I want to cut this tape.,scissors
I need to cut this bandage.,scissors
Fetch me my diary.,notebook
I want to write a poem.,notebook
I want my morning drink.,coffee
I am feeling drowsy.,coffee
Give me some paper towels.,tissues
My hands are covered in gel.,tissues
Bobby wants his toy.,teddy bear
I want something fuzzy and cuddly.,teddy bear
