,sentence,target,response,mark
0,Can you bring me a bottle?,bottle,A bottle can help with the situation because it is a common object to find around. It is also easy to grab and can be used to help with the situation.,1
1,"Can you bring me something to drink, that is not coffee?",bottle,"The object that can help the most in this situation is a bottle. A bottle can help to provide sustenance for someone, and it can also be used as a tool to write or take notes.",1
2,Can you hand me something made of glass?,bottle,The object that can help the most in this situation is a glass bottle. It can help because it is non-permanent and can be easily replaced.,1
3,I’m thirsty,bottle,A bottle of water can help because it can provide hydration. A banana can help because it is a source of energy. A cellphone can help because it can provide communication. A pen can help because it can be used to write. A scissors can help because they can be used to cut materials. A notebook can help because it can be used to write down ideas. A coffee can help because it can provide energy. Tissues can help because they are a source of warmth. A teddy bear,1
4,I want to drink something,bottle,A bottle of water can help with the situation because it is a liquid. A banana can help because it is a fruit. A cellphone can help because it is a phone. A pen can help because it is a writing instrument. A scissors can help because they are a tool for cutting things. A notebook can help because it can be used to write down ideas. A coffee can help because it can be used to caffeinate. Tissues can help because they are a source of comfort. A t,1
5,I am parched,bottle,A bottle of water can help with the situation because it can provide hydration. A banana can help because it is a source of energy. A cellphone can help because it can be used to call for help. A pen can be used to write in a notebook. A scissors can be used to cut materials such as fabric. A tissue can be used to clean up. A teddy bear can be used to provide comfort.,1
6,I am craving a drink,bottle,A drink can help with a craving because it can take the edge off.,0
7,I have not drank anything today,bottle,"The object that can help the most in this situation is a bottle of water. It can help to take a drink and clear the head, and it can also help to reduce the amount of pain that the person is feeling.",1
8,John says he is dehydrated,bottle,A bottle of water can help John because it is a liquid and he can drink it easily. A banana can help John because it is a fruit and he can eat it. A cellphone can help John because he can use it to call for help. A pen can help John because he can write in the notebook. A scissors can help John because he can cut the banana into pieces. A notebook can help John because he can write down his thoughts. A coffee can help John because he can drink it,1
9,I came from the gym and I am thirsting,bottle,A bottle of water would be the best object to help with the situation because it can be used as a drink or to cool down. A banana would also be a good choice because it is a fruit that can be eaten fresh or frozen. A cellphone would also be a good choice because it can be used to call someone or to watch a movie. A pen and a pencil would also be good choices because they can be used to write or to draw. A notebook would also be a good choice because,1
10,Can you bring me a banana?,banana,The object that can help the most in this situation is a banana. It is a healthy food that can help with the pain and inflammation that is common in this situation.,1
11,Can you bring me a fruit?,banana,The object that can help the most in this situation is a banana. It is a healthy fruit that is easy to eat and can help with the situation.,1
12,Can you bring me a snack?,banana,The object that can help the most in this situation is a banana. It can help with the need for food and can help with the situation of not having anything to eat.,1
13,I’m hungry,banana,A banana can help because it is a source of carbohydrates and it is a good source of dietary fiber. A pen can help because it is a writing instrument and it can help with problem solving. A cellphone can help because it can be used to make calls and it can be used to access the internet. A notebook can help because it can be used to write down ideas and it can be used to keep track of what is happening. A coffee can help because it can be used to help with energy,1
14,I want to eat a fruit,banana,The object that can help the most in this situation is a banana. It is a healthy fruit that is low in sugar and has a lot of nutrients. It is also a good source of potassium and vitamin C.,1
15,I am ravenous,banana,A banana can help because it is a source of carbohydrates and it is a good source of dietary fiber. A pen can help because it is a writing instrument and it can help with writing. A cellphone can help because it can be used to make calls and it can be used to access the internet. A notebook can help because it can be used to write down ideas and it can be used to keep track of things. A coffee can help because it can help with energy and it can be used to,1
16,I haven’t had anything to eat since lunch,banana,The object that can help the most in this situation is a banana. It is a healthy food that can help you eat something after lunch.,1
17,I want a snack,banana,A snack would help with the situation because it would provide energy and provide a source of sustenance.,0
18,I haven’t had a breakfast yet,banana,A banana can help with breakfast because it is a source of carbohydrates and it is a good source of dietary fiber.,1
19,I’ve been training in the gym and I need to eat something to re-energize,banana,A banana would help because it is a source of carbohydrates and it can help with energy.,1
