,sentence,target,response
0,Can you bring me a bottle?,bottle," Bottle, because it is the object specifically requested in the prompt."
1,"Can you bring me something to drink, that is not coffee?",bottle," Bottle - A bottle can be filled with a variety of drinks, such as water"
2,Can you hand me something made of glass?,bottle, Bottle - A bottle is an object made of glass.
3,I’m thirsty,bottle, Bottle - A bottle can help with the situation in the prompt the most because it
4,I want to drink something,bottle, Bottle - A bottle can help with the situation in the prompt the most because it
5,I am parched,bottle, Bottle - A bottle can help with the situation in the prompt the most because it
6,I am craving a drink,bottle, Bottle - A bottle can help with the situation in the prompt the most because it
7,I have not drank anything today,bottle, Bottle - A bottle can help with the situation in the prompt the most because it
8,John says he is dehydrated,bottle, Bottle - A bottle can help John rehydrate by providing him with a source
9,I came from the gym and I am thirsting,bottle, Bottle - A bottle can help with the situation in the prompt the most because it
10,Can you bring me a banana?,banana, A banana can help with the situation in the prompt the most because it is the
11,Can you bring me a fruit?,banana, Banana. A banana is a type of fruit.
12,Can you bring me a snack?,banana, A banana. It is a healthy snack that can provide energy and nutrition.
13,I’m hungry,banana, Banana - A banana can help with hunger as it is a healthy snack.
14,I want to eat a fruit,banana, Banana - A banana is a type of fruit that can be eaten.
15,I am ravenous,banana," A banana, because it is a healthy snack that can help to satisfy hunger."
16,I haven’t had anything to eat since lunch,banana," A banana, because it is a healthy snack that can provide energy and nutrition."
17,I want a snack,banana, Banana - A banana is a healthy snack that can provide energy and nutrition.
18,I haven’t had a breakfast yet,banana, A banana. A banana is a healthy and convenient breakfast option.
19,I’ve been training in the gym and I need to eat something to re-energize,banana," A banana, because it is a healthy snack with natural sugars that can help provide a quick boost of energy."
20,Can you bring me my phone?,cellphone, Cellphone - It is the only object that can help with the situation in the
21,I want to call my mother,cellphone, Cellphone - It is the only object that can help with the situation in the
22,I want to send a text message.,cellphone, Cellphone - A cellphone is the most helpful object for sending a text message.
23,Let’s order some pizza,cellphone, Cellphone - The cellphone can be used to call and order the pizza.
24,Let’s play some music,cellphone, Cellphone - A cellphone can help with the situation in the prompt the most because
25,Let’s play some mobile games,cellphone, Cellphone - A cellphone can help with the situation in the prompt the most because
26,Let me take a picture of this food,cellphone, Cellphone - A cellphone can help with the situation in the prompt the most because
27,I think I got a notification,cellphone, Cellphone. A cellphone can help with the situation in the prompt the most because
28,I think someone is calling,cellphone, Cellphone - It can be used to answer the call and find out who is
29,I need to record her number,cellphone, Cellphone - It can be used to store the number and call it back if
30,Can you bring me ibuprofen?,ibuprofen," Ibuprofen, because it is the only object that can help with the"
31,Can you bring me some painkillers?,ibuprofen," Ibuprofen, because it is a type of painkiller."
32,Can you bring me an anti-inflammattory?,ibuprofen," Ibuprofen, because it is an anti-inflammatory medication."
33,I am in pain,ibuprofen," Ibuprofen, because it is a pain reliever."
34,I have a fever,ibuprofen," Ibuprofen, because it is a medication that can help reduce fever."
35,I have a migraine,ibuprofen," Ibuprofen, because it is a medication that can help reduce the pain"
