,sentence,target,response
0,Can you bring me a bottle?,bottle, A bottle can help with the situation because it can provide a way to drink water
1,"Can you bring me something to drink, that is not coffee?",bottle, The best option for the situation is a bottle of water. A banana would also
2,Can you hand me something made of glass?,bottle, A bottle would be the best option because it is made of glass and can be
3,I’m thirsty,bottle, A bottle of water would be the best option for helping with the situation in the
4,I want to drink something,bottle, The coffee can help with the situation because it can help to give you energy.
5,I am parched,bottle, A bottle of water would be the best option for helping with the situation in the
6,I am craving a drink,bottle, The bottle can help with the craving because it can hold liquids. The banana can
7,I have not drank anything today,bottle, The coffee can help with the situation because it will give you energy. The tissues
8,John says he is dehydrated,bottle, The banana would be the best object to help John because it is a source of
9,I came from the gym and I am thirsting,bottle, The best object to help with the situation in the prompt is a bottle of water
10,Can you bring me a banana?,banana, The banana can help with the situation because it is a food that can help with
11,Can you bring me a fruit?,banana, The best option for this prompt is a banana. Bananas are easy to carry
12,Can you bring me a snack?,banana, The best option for snacks would be a banana because it is a healthy option and
13,I’m hungry,banana, The banana would be the best option because it is a healthy snack that can help
14,I want to eat a fruit,banana, The banana is the best option because it is a healthy option and it can help
15,I am ravenous,banana, The banana would be the best option for helping with the situation because it is a
16,I haven’t had anything to eat since lunch,banana, The banana would be the best option because it is a fruit and contains nutrients that
17,I want a snack,banana, The banana would be the best snack because it is a healthy option and it has
18,I haven’t had a breakfast yet,banana, The coffee can help with the situation because it will give you energy to start the
19,I’ve been training in the gym and I need to eat something to re-energize,banana, The banana would be the best option because it is a source of energy and it
20,Can you bring me my phone?,cellphone, The cellphone can help with the situation because it can be used to call for help
21,I want to call my mother,cellphone, The cellphone can help with this because it has a phone number.
22,I want to send a text message.,cellphone, The cellphone is the best object to send a text message with because it has a
23,Let’s order some pizza,cellphone,"

The best option for ordering pizza would be to use a cellphone. This"
24,Let’s play some music,cellphone, The cellphone can help with the situation because it can play music.
25,Let’s play some mobile games,cellphone, The cellphone would be the best object to help with this situation because it can be
26,Let me take a picture of this food,cellphone, A cellphone can help take a picture of the food because it has a camera.
27,I think I got a notification,cellphone, The cellphone would be the best object to help with the situation because it can notify
28,I think someone is calling,cellphone, The cellphone can help with the situation because it can be used to answer the phone
29,I need to record her number,cellphone, A cellphone can be used to record her number. It is portable and can be
30,Can you bring me ibuprofen?,ibuprofen, The ibuprofen can help with the pain in the situation.
31,Can you bring me some painkillers?,ibuprofen, The best option for this prompt would be to bring a bottle of painkillers.
32,Can you bring me an anti-inflammattory?,ibuprofen, The best option for this prompt would be a bottle of ibuprofen.
33,I am in pain,ibuprofen, The bottle can help with the situation because it can provide relief from the pain.
34,I have a fever,ibuprofen, The banana can help with the fever because it is a natural remedy for it.
35,I have a migraine,ibuprofen, The banana would be the best option for someone with a migraine because it is a
36,I was cooking and I burnt my hand,ibuprofen, The best object to help with this situation is a bottle of water. If you
37,I have high temperature,ibuprofen, The best object to help with the situation is a bottle of water. It can
38,I have a headache,ibuprofen, The best object to help with a headache is a bottle of water. It can
39,My tooth hurts,ibuprofen, A bottle of water would be the best object to help with the situation because it
40,Can you bring me a pen?,pen, A pen can help with the situation in the prompt because it can be used to
41,Can you bring me something to write?,pen, The best option for helping with the situation in the prompt is a notebook. A
42,Can you bring me something to take a note?,pen, The best option for taking a note is a notebook. It is portable and can
43,I want to write my name on this paper,pen, A pen would be the best object to help with this situation because it has a
44,I need something to sign this paper,pen, A pen would be the best option because it can be used to write on the
45,What can I use to give an autograph?,pen, A banana would be the best option for this prompt because it is soft and easy
46,I have nothing to write with,pen," A pen would be the best option because it can be used to write with,"
47,I need John’s signature,pen, The cellphone can be used to call John and ask for his signature. The banana
48,I want to draw this flower,pen, A bottle can help with the situation because it can be used to hold the flower
49,If I don’t write this down I will forget it,pen, The notebook would be the best object to help with this situation because it can be
50,Can you bring me scissors?,scissors, The scissors can help with the situation because they can be used to cut the banana
51,Can you bring me something sharp?,scissors, The best option for sharp objects is a bottle. A banana can also be helpful
52,Can you bring me something to cut with?,scissors, The bottle can help with the situation because it has a sharp edge. The banana
53,I want to open this package but it is wrapped really tight,scissors, The bottle can help with the situation because it can help break the seal on the
54,I want to trim my hair,scissors, A hair trimmer is the best object to use to trim your hair. It
55,I want to trim and prune the plants,scissors, The bottle can help with the situation because it can hold water and help with the
56,I need to snip this fishing line,scissors, The bottle can help with the situation because it can be used to cut the fishing
57,Get me something to make a hole in this piece of fabric,scissors, A bottle can help with the situation because it can help make a hole in the
58,I want to cut this paper in half,scissors, The bottle can help because it can be used to cut the paper in half.
59,"I need some tape, give me something to cut it",scissors, The bottle can help because it has a lid that can be used to cover the
60,Can you bring me a notebook?,notebook, A notebook can help with the situation because it can be used to write down what
61,Where can I draw a doodle?,notebook," The best place to draw a doodle is probably a notebook, because it"
62,I should write this in my diary,notebook, A notebook would be the best object to write in because it has a lot of
63,Where is my journal?,notebook, A journal can help with the situation in the prompt the most because it can be
64,Bring me something I can sketch on,notebook, The coffee can help with the situation because it can be used to draw on.
65,I want to see the instructions again. They are in my notebook,notebook, The notebook is the best option for this situation because it has the instructions written in
66,Let me write this recipe somewhere,notebook, The notebook would be the best option for this situation because it can be used to
67,I should start journaling my everyday thoughts,notebook, A journal can help with the situation in the prompt the most because it can help
68,Let me see my notes again,notebook, The notebook would be the best object to help with the situation because it can hold
69,I forgot John’s address but I remember I wrote it down in my everyday journal,notebook, The notebook would be the best object to help with this situation because it has a
70,Can you bring me some coffee?,coffee, Coffee is a common beverage that can help with the situation. It can provide energy
71,Can you bring me something caffeinated?,coffee, The coffee is the most helpful object because it can help with the situation of needing
72,I feel sleepy,coffee, A banana would be a good choice because it is a natural source of energy and
73,I had a late night yesterday but I need to work now,coffee, The coffee can help with the situation because it will give you energy to work.
74,I should not sleep right now,coffee, The best object to help with this situation is a coffee mug. It can help
75,I need some nervous system stimulants,coffee, The banana is the best option because it is a source of potassium which is a
76,"This assignment is boring and I am falling asleep, but I need to get through it",coffee, The best object to help with this situation is a coffee. It will help to
