,sentence,target,response
0,Can you bring me a bottle?,bottle," Bottle, because it is the object specifically requested in the prompt."
1,"Can you bring me something to drink, that is not coffee?",bottle, Bottle - A bottle can be filled with a variety of non-coffee drinks
2,Can you hand me something made of glass?,bottle, Bottle - It is made of glass and can help with the situation in the prompt
3,I’m thirsty,bottle, Bottle - It can be filled with a beverage to quench thirst.
4,I want to drink something,bottle, Bottle - It can be used to hold a drink.
5,I am parched,bottle," A bottle, because it can contain a beverage to quench thirst."
6,I am craving a drink,bottle, Bottle - A bottle can help with the situation in the prompt by providing a drink
7,I have not drank anything today,bottle, Bottle - A bottle can help with the situation in the prompt by providing a way
8,John says he is dehydrated,bottle, Bottle - A bottle can help John rehydrate by providing him with a source
9,I came from the gym and I am thirsting,bottle, Bottle - A bottle can help with the situation in the prompt by providing a way
10,Can you bring me a banana?,banana, A banana can help with the situation in the prompt the most.
11,Can you bring me a fruit?,banana," Banana, because it is a type of fruit."
12,Can you bring me a snack?,banana," A banana, because it is a healthy snack."
13,I’m hungry,banana," A banana, because it is a healthy snack that can provide energy and nutrition."
14,I want to eat a fruit,banana, Banana - A banana is a type of fruit that can be eaten.
15,I am ravenous,banana," A banana, because it is a quick and healthy snack."
16,I haven’t had anything to eat since lunch,banana," A banana, as it is a quick and easy snack that can provide energy."
17,I want a snack,banana, Banana - it is a healthy snack option.
18,I haven’t had a breakfast yet,banana," A banana, as it is a quick and easy snack that provides energy."
19,I’ve been training in the gym and I need to eat something to re-energize,banana," A banana, because it is a healthy snack that provides energy."
20,Can you bring me my phone?,cellphone," Cellphone, because it is the object that can help with the situation in the"
21,I want to call my mother,cellphone, Cellphone - It is the only object that can be used to make a call
22,I want to send a text message.,cellphone," Cellphone, because it is the only object that can be used to send a"
23,Let’s order some pizza,cellphone, Cellphone - It can be used to call and order the pizza.
24,Let’s play some music,cellphone, Cellphone - It can be used to play music.
25,Let’s play some mobile games,cellphone, Cellphone - A cellphone is the most helpful object for playing mobile games.
26,Let me take a picture of this food,cellphone, Cellphone - It can be used to take a picture of the food.
27,I think I got a notification,cellphone, Cellphone - It can help to check the notification.
28,I think someone is calling,cellphone, Cellphone - It can be used to answer the call and find out who is
29,I need to record her number,cellphone," A pen and a notebook, as they can be used to write down the number"
30,Can you bring me ibuprofen?,ibuprofen," Ibuprofen, because it is the object specifically requested in the prompt."
31,Can you bring me some painkillers?,ibuprofen," Ibuprofen, as it is a type of painkiller."
32,Can you bring me an anti-inflammattory?,ibuprofen," Ibuprofen, as it is an anti-inflammatory medication."
33,I am in pain,ibuprofen," Ibuprofen, as it is a pain reliever."
34,I have a fever,ibuprofen," Ibuprofen, as it is a medication that can help reduce fever."
35,I have a migraine,ibuprofen, Ibuprofen. Ibuprofen is a common medication used to treat
36,I was cooking and I burnt my hand,ibuprofen," Ibuprofen, because it can help reduce pain and inflammation."
37,I have high temperature,ibuprofen," Ibuprofen, as it is a medication that can help reduce fever."
38,I have a headache,ibuprofen," Ibuprofen, as it is a medication that can help to reduce the"
39,My tooth hurts,ibuprofen," Ibuprofen, because it can help reduce pain and inflammation."
40,Can you bring me a pen?,pen," Pen, because it is the object that can help with the situation in the prompt"
41,Can you bring me something to write?,pen, Pen - A pen is the most useful object for writing.
42,Can you bring me something to take a note?,pen, Pen - A pen can be used to take a note.
43,I want to write my name on this paper,pen, Pen - A pen is the most useful object for writing on paper.
44,I need something to sign this paper,pen, Pen - A pen is the most appropriate object to use to sign a paper.
45,What can I use to give an autograph?,pen, Pen - A pen is the most suitable object for giving an autograph.
46,I have nothing to write with,pen, Pen - A pen is the most useful object for writing.
47,I need John’s signature,pen, Pen - A pen is the most useful object for signing a document.
48,I want to draw this flower,pen, Pen - A pen is the most useful object for drawing a flower.
49,If I don’t write this down I will forget it,pen, Pen - A pen can help with the situation in the prompt because it can be
50,Can you bring me scissors?,scissors," Scissors, because it is the object specifically requested in the prompt."
51,Can you bring me something sharp?,scissors," Scissors, because they are a sharp object."
52,Can you bring me something to cut with?,scissors," Scissors, because they are designed for cutting."
53,I want to open this package but it is wrapped really tight,scissors, Scissors - Scissors can be used to cut through the package and open it
54,I want to trim my hair,scissors, Scissors - Scissors are the best object to help with trimming hair.
55,I want to trim and prune the plants,scissors, Scissors - Scissors are the best object to help with trimming and pr
56,I need to snip this fishing line,scissors, Scissors - Scissors are the best object to help with the situation in the
57,Get me something to make a hole in this piece of fabric,scissors, Scissors - Scissors are the best object to make a hole in a piece
58,I want to cut this paper in half,scissors, Scissors - Scissors are the best object to help with the situation in the
59,"I need some tape, give me something to cut it",scissors, Scissors - Scissors can be used to cut tape.
60,Can you bring me a notebook?,notebook, A notebook can help with the situation in the prompt the most.
61,Where can I draw a doodle?,notebook, Notebook - It can provide a surface to draw a doodle.
62,I should write this in my diary,notebook," A notebook, because it is a tool used to write down thoughts and ideas in"
63,Where is my journal?,notebook, Notebook - It is the most likely object to be used as a journal.
64,Bring me something I can sketch on,notebook, Notebook - A notebook can provide a surface to sketch on.
